Client_Full_Name,Installation_Address,System_ID_Code,Contact_Person_Role
Reynold B. Magdaong,"123 Rizal St., Old Albay, Legazpi City",SOL-450W-RES,Reynold:Owner
Maria Clara Santos,"Phase 2 Lot 5, Taysan, Legazpi City",SOL-550W-COM,Maria:Manager
Jonathan Sy,"Brgy 18, Cabangan, Legazpi City",SOL-300W-RES,Jonathan:Head
Lilibeth V. Oraye,"Purok 4, Rawis, Legazpi City",SOL-450W-RES,Lilibeth:Owner
Mark Anthony Dantes,"Bgy 15, Ilawod, Legazpi City",SOL-1KW-COM,Mark:Director
Elena G. Rossi,"Villa Grande Subd, Sagpon, Legazpi City",SOL-450W-RES,Elena:Owner
Roberto Guanzon,"Albay District, Legazpi City",SOL-5KW-IND,Roberto:Supervisor
Sarah Jane Bicol,"Purok 1, Bitano, Legazpi City",SOL-300W-RES,Sarah:Owner
Fernando Poe III,"Rizal St, Legazpi City",SOL-10KW-IND,Fernando:CEO
Gina L. Lopez,"Maroroy, Daraga-Legazpi Border",SOL-450W-RES,Gina:Owner
Paolo A. Reyes,"Washington Drive, Legazpi City",SOL-550W-COM,Paolo:Manager
Clara Belle,"Empire Subd, Legazpi City",SOL-300W-RES,Clara:Owner
Dante M. Gulapa,"Tahao Road, Legazpi City",SOL-1KW-COM,Dante:Lead
Fiona Mae,"Cruzada, Legazpi City",SOL-450W-RES,Fiona:Owner
Gregory House,"Bgy 24, Rizal St, Legazpi City",SOL-5KW-IND,Gregory:Admin
Hannah Montana,"Purok 6, Arimbay, Legazpi City",SOL-300W-RES,Hannah:Owner
Ian Somerhalder,"Lakandula St, Legazpi City",SOL-10KW-IND,Ian:Manager
Julia B. Barretto,"Binanuahan, Legazpi City",SOL-450W-RES,Julia:Owner
Kevin Kwok,"Purok 3, San Roque, Legazpi City",SOL-550W-COM,Kevin:Director
Liza Soberano,"Imperial Court, Legazpi City",SOL-300W-RES,Liza:Owner
Mike Enriquez,"Bgy 40, Buyuan, Legazpi City",SOL-1KW-COM,Mike:Anchor
Nora Aunor,"Purok 5, Padang, Legazpi City",SOL-450W-RES,Nora:Owner
Oscar Isaac,"Bgy 1, Em's Barrio, Legazpi City",SOL-5KW-IND,Oscar:Lead
Piolo Pascual,"Peñaranda St, Legazpi City",SOL-300W-RES,Piolo:Owner
Quinn Fabray,"Doña Maria Subd, Legazpi City",SOL-10KW-IND,Quinn:Manager
Rico Yan,"Bgy 17, Rizal St, Legazpi City",SOL-450W-RES,Rico:Owner
Shaina Magdayao,"Purok 2, Mabinit, Legazpi City",SOL-550W-COM,Shaina:Director
Toni Gonzaga,"Taytay, Legazpi City",SOL-300W-RES,Toni:Owner
Ursula Corbero,"Bgy 59, Purok 1, Legazpi City",SOL-1KW-COM,Ursula:Lead
Vic Sotto,"Landco Business Park, Legazpi City",SOL-450W-RES,Vic:Owner
Wendy Tablate,"Purok 7, Bagong Abre, Legazpi City",SOL-5KW-IND,Wendy:Admin
Xander Ford,"Bgy 12, Oro Site, Legazpi City",SOL-300W-RES,Xander:Owner
Yassi Pressman,"Purok 3, Gogon, Legazpi City",SOL-10KW-IND,Yassi:Manager
Zanjoe Marudo,"Washington Drive, Legazpi City",SOL-450W-RES,Zanjoe:Owner
Arthur Nery,"Bgy 16, Kawit-East, Legazpi City",SOL-550W-COM,Arthur:Lead
Bella Poarch,"Purok 4, Dap-Dap, Legazpi City",SOL-300W-RES,Bella:Owner
Coco Martin,"Bgy 14, Ilawod, Legazpi City",SOL-1KW-COM,Coco:Director
Daniel Padilla,"Purok 1, Homapon, Legazpi City",SOL-450W-RES,Daniel:Owner
Enrique Gil,"Bgy 9, Pinaric, Legazpi City",SOL-5KW-IND,Enrique:Lead
Francine Diaz,"Purok 6, Banquerohan, Legazpi City",SOL-300W-RES,Francine:Owner
Gerald Anderson,"Bgy 11, Maoyod, Legazpi City",SOL-10KW-IND,Gerald:Manager
Heart Evangelista,"Imperial Ridgeview, Legazpi City",SOL-450W-RES,Heart:Owner
Ivana Alawi,"Purok 2, Bariis, Legazpi City",SOL-550W-COM,Ivana:Director
James Reid,"Bgy 13, Bañadero, Legazpi City",SOL-300W-RES,James:Owner
Kathryn Bernardo,"Purok 5, Maslog, Legazpi City",SOL-1KW-COM,Kathryn:Lead
Luis Manzano,"Bgy 19, Cabangan, Legazpi City",SOL-450W-RES,Luis:Owner
Maja Salvador,"Purok 3, Bogtong, Legazpi City",SOL-5KW-IND,Maja:Admin
Nadine Lustre,"Bgy 2, Em's Barrio, Legazpi City",SOL-300W-RES,Nadine:Owner
Ogie Alcasid,"Purok 4, Bagacay, Legazpi City",SOL-10KW-IND,Ogie:Manager
Pia Wurtzbach,"Bgy 8, Bagumbayan, Legazpi City",SOL-450W-RES,Pia:Owner
