Client_Full_Name,Installation_Address,System_ID_Code,Contact_Person_Role,Street,Barangay,City,Project Type,Wattage,Category,Contact Name,Job Role,Mailing Label,Service Order
Reynold B. Magdaong,"123 Rizal St., Old Albay, Legazpi City",SOL-450W-RES,Reynold:Owner,123 Rizal St.,Old Albay,Legazpi City,SOL,450W,RES,Reynold,Owner,Client: Reynold B. Magdaong - Address: 123 Rizal St.,RES_Reynold B. Magdaong
Maria Clara Santos,"Phase 2 Lot 5, Taysan, Legazpi City",SOL-550W-COM,Maria:Manager,Phase 2 Lot 5,Taysan,Legazpi City,SOL,550W,COM,Maria,Manager,Client: Maria Clara Santos - Address: Phase 2 Lot 5,COM_Maria Clara Santos
Jonathan Sy,"Brgy 18, Cabangan, Legazpi City",SOL-300W-RES,Jonathan:Head,Brgy 18,Cabangan,Legazpi City,SOL,300W,RES,Jonathan,Head,Client: Jonathan Sy - Address: Brgy 18,RES_Jonathan Sy
Lilibeth V. Oraye,"Purok 4, Rawis, Legazpi City",SOL-450W-RES,Lilibeth:Owner,Purok 4,Rawis,Legazpi City,SOL,450W,RES,Lilibeth,Owner,Client: Lilibeth V. Oraye - Address: Purok 4,RES_Lilibeth V. Oraye
Mark Anthony Dantes,"Bgy 15, Ilawod, Legazpi City",SOL-1KW-COM,Mark:Director,Bgy 15,Ilawod,Legazpi City,SOL,1KW,COM,Mark,Director,Client: Mark Anthony Dantes - Address: Bgy 15,COM_Mark Anthony Dantes
Elena G. Rossi,"Villa Grande Subd, Sagpon, Legazpi City",SOL-450W-RES,Elena:Owner,Villa Grande Subd,Sagpon,Legazpi City,SOL,450W,RES,Elena,Owner,Client: Elena G. Rossi - Address: Villa Grande Subd,RES_Elena G. Rossi
Roberto Guanzon,"Albay District, Legazpi City",SOL-5KW-IND,Roberto:Supervisor,Albay District,Legazpi City,,SOL,5KW,IND,Roberto,Supervisor,Client: Roberto Guanzon - Address: Albay District,IND_Roberto Guanzon
Sarah Jane Bicol,"Purok 1, Bitano, Legazpi City",SOL-300W-RES,Sarah:Owner,Purok 1,Bitano,Legazpi City,SOL,300W,RES,Sarah,Owner,Client: Sarah Jane Bicol - Address: Purok 1,RES_Sarah Jane Bicol
Fernando Poe III,"Rizal St, Legazpi City",SOL-10KW-IND,Fernando:CEO,Rizal St,Legazpi City,,SOL,10KW,IND,Fernando,CEO,Client: Fernando Poe III - Address: Rizal St,IND_Fernando Poe III
Gina L. Lopez,"Maroroy, Daraga-Legazpi Border",SOL-450W-RES,Gina:Owner,Maroroy,Daraga-Legazpi Border,,SOL,450W,RES,Gina,Owner,Client: Gina L. Lopez - Address: Maroroy,RES_Gina L. Lopez
Paolo A. Reyes,"Washington Drive, Legazpi City",SOL-550W-COM,Paolo:Manager,Washington Drive,Legazpi City,,SOL,550W,COM,Paolo,Manager,Client: Paolo A. Reyes - Address: Washington Drive,COM_Paolo A. Reyes
Clara Belle,"Empire Subd, Legazpi City",SOL-300W-RES,Clara:Owner,Empire Subd,Legazpi City,,SOL,300W,RES,Clara,Owner,Client: Clara Belle - Address: Empire Subd,RES_Clara Belle
Dante M. Gulapa,"Tahao Road, Legazpi City",SOL-1KW-COM,Dante:Lead,Tahao Road,Legazpi City,,SOL,1KW,COM,Dante,Lead,Client: Dante M. Gulapa - Address: Tahao Road,COM_Dante M. Gulapa
Fiona Mae,"Cruzada, Legazpi City",SOL-450W-RES,Fiona:Owner,Cruzada,Legazpi City,,SOL,450W,RES,Fiona,Owner,Client: Fiona Mae - Address: Cruzada,RES_Fiona Mae
Gregory House,"Bgy 24, Rizal St, Legazpi City",SOL-5KW-IND,Gregory:Admin,Bgy 24,Rizal St,Legazpi City,SOL,5KW,IND,Gregory,Admin,Client: Gregory House - Address: Bgy 24,IND_Gregory House
Hannah Montana,"Purok 6, Arimbay, Legazpi City",SOL-300W-RES,Hannah:Owner,Purok 6,Arimbay,Legazpi City,SOL,300W,RES,Hannah,Owner,Client: Hannah Montana - Address: Purok 6,RES_Hannah Montana
Ian Somerhalder,"Lakandula St, Legazpi City",SOL-10KW-IND,Ian:Manager,Lakandula St,Legazpi City,,SOL,10KW,IND,Ian,Manager,Client: Ian Somerhalder - Address: Lakandula St,IND_Ian Somerhalder
Julia B. Barretto,"Binanuahan, Legazpi City",SOL-450W-RES,Julia:Owner,Binanuahan,Legazpi City,,SOL,450W,RES,Julia,Owner,Client: Julia B. Barretto - Address: Binanuahan,RES_Julia B. Barretto
Kevin Kwok,"Purok 3, San Roque, Legazpi City",SOL-550W-COM,Kevin:Director,Purok 3,San Roque,Legazpi City,SOL,550W,COM,Kevin,Director,Client: Kevin Kwok - Address: Purok 3,COM_Kevin Kwok
Liza Soberano,"Imperial Court, Legazpi City",SOL-300W-RES,Liza:Owner,Imperial Court,Legazpi City,,SOL,300W,RES,Liza,Owner,Client: Liza Soberano - Address: Imperial Court,RES_Liza Soberano
Mike Enriquez,"Bgy 40, Buyuan, Legazpi City",SOL-1KW-COM,Mike:Anchor,Bgy 40,Buyuan,Legazpi City,SOL,1KW,COM,Mike,Anchor,Client: Mike Enriquez - Address: Bgy 40,COM_Mike Enriquez
Nora Aunor,"Purok 5, Padang, Legazpi City",SOL-450W-RES,Nora:Owner,Purok 5,Padang,Legazpi City,SOL,450W,RES,Nora,Owner,Client: Nora Aunor - Address: Purok 5,RES_Nora Aunor
